Model,Variable,coef,se(coef),z,p_value,HR,HR_lower_95,HR_upper_95
Model2,pain_status_Acute,0.030076427588398146,0.017616895510353534,1.7072490195972432,0.08777577733328734,1.0305332921181107,0.9955578425664044,1.066737481999149
Model2,pain_status_CWP,0.5165898194309452,0.05309883490412674,9.728835300504809,2.2717913417727276e-22,1.676301401011643,1.5106167564243533,1.860158359215388
Model2,pain_status_MCP,0.21036341088592198,0.016347764369266684,12.868023182509225,6.812341362906094e-38,1.234126473467695,1.1952105729030895,1.274309470685467
Model2,pain_status_SCP,0.08255272500367407,0.0153354770649903,5.383120763300902,7.320538804909132e-08,1.0860559342326281,1.0538980748561173,1.119195034532101
Model2,age,0.04040159424256717,0.0008028429267294408,50.32316147711738,0.0,1.0412288417480486,1.0395917115473128,1.042868550071777
Model2,sex_Male,0.2026102281890197,0.01278241334595904,15.850702266099988,1.3901859987776453e-56,1.2245950625786484,1.1942963200128913,1.2556624701613552
Model2,ethnic_background_Non-white,-0.21824928784993264,0.0332852747872382,-6.556932134254481,5.4925994235565974e-11,0.8039250079480138,0.7531527416102279,0.858119983766434
Model2,townsend_group_High,0.15440050733137434,0.014237880607479988,10.844346261076158,2.1214707186220625e-27,1.166958168499207,1.1348435206096612,1.199981620633866
Model2,townsend_group_Medium,0.03655115075640011,0.0137855501310277,2.6514103832630473,0.00801563815381035,1.0372273576247735,1.0095775428968714,1.0656344319211615
Model2,qualifications_Non-College or University degree,0.1599272318265782,0.013808062930953647,11.58216272813097,5.074931946656878e-31,1.1734254798561536,1.1420945781343563,1.2056158772987908
